Word,Count
Return,56
simple,56
since,56
<Output>,56
dib,56
fields,56
codes,56
License,55
units,55
blue,55
map,55
true,55
level,55
original,55
multi-page,55
camera,54
needed,54
-------------------,54
offset,54
different,54
window,54
ON,54
make,54
scaling,54
hint,54
\IS"\\,54
\INCLUDING,\,54
Pointer,54
and/or,53
instance,53
works,53
--,53
Specifies,53
applications,53
slot,52
stored,52
structures,52
statements,52
Windows,52
N,52
last,52
path,52
----------------------------------------------------------,52
range,51
stroker,51
components,51
just,51
Open,51
during,51
entity,51
block,51
state,50
<<,50
CONTRIBUTORS,50
\notice,\,50
transformation,50
IMPLIED,50
disclaimer,50
\TO,\,50
plugin,50
TO,50
SFNT,50
those,50
S,50
Redistributions,50
certain,49
either,49
compile,49
saved,49
import,49
signification,48
PostScript,48
details,48
Project,48
\KIND,\,48
change,48
64-bit,48
WITH,48
\IMPLIED,\,48
distance,48
specify,48
background,47
special,47
--------------------------------------------------------------------------------,47
optional,47
struct,47
dictionary,47
embedded,47
script,47
BE,47
Default,47
export,46
many,46
operation,46
calls,46
<InOut>,46
interpreter,46
open,46
top,46
\2003,\,46
Each,46
Pixel,46
x,45
rights,45
while,45
convert,45
example,45
Window,45
direct,45
derived,45
<Section>,45
invalid,45
enumeration,45
base,45
descriptor,45
client,45
O,45
well,45
LIABLE,44
TORT,44
\2002,\,44
full,44
Format,44
OUT,44
EXPRESS,44
callback,44
calling,44
team,44
SHALL,44
ARISING,44
most,44
byte,44
EVENT,44
properties,44
small,44
FITNESS,44
various,44
WHETHER,44
DAMAGES,44
\CONTRACT,\,44
+=,44
form,44
bytecode,43
normal,43
permission,43
contain,43
(the,43
end,43
bitmaps,43
section,43
notice,42
filter,42
compiled,42
Software,42
FreeType~2,42
Only,42
<FuncType>,42
resolution,42
CHANGE,42
==,42
animation,42
usually,41
pointers,41
additional,41
depth,41
coordinate,41
automatically,41
component,41
written,41
reserved,41
32,41
service,41
Property,41
very,41
stem,40
\set,\,40
palette,40
UV,40
start,40
program,40
element,40
\However,\,40
out,40
Retrieve,39
present,39
old,39
never,39
about,39
add,39
least,39
materials,39
src,39
shadow,39
already,39
Load,39
specification,39
address,39
We,39
multiple,39
frame,38
nodes,38
compiler,38
vertices,38
DLL,38
imported,38
raster,38
corresponds,38
textures,38
box,38
licence,38
way,38
compatibility,37
C++,37
initialize,37
shader,37
\2006,\,37
Drolon,37
perform,37
2012,37
display,37
enough,37
16.16,37
<Title>,37
option,37
Hervé,37
\default,\,37
VEC3,37
below,37
constructor,37
Constructor,37
currently,36
reference,36
necessary,36
subject,36
associated,36
isn't,36
Lua,36
type:,36
signed,36
\example,\,36
contribution(s),36
\2009,\,36
now,36
directly,36
@FT_Face,36
copies,36
HOLDERS,36
being,36
applied,36
look,36
avoid,36
against,36
offsets,35
(in,35
equal,35
-----------------------------,35
close,35
\2004,\,35
operator,35
provide,35
24-bit,35
edge,34
elements,34
opened,34
(e.g,34
typedef,34
identifier,34
FreeImageIO,34
test,34
right,34
axis,34
created,34
CFF,34
faces,34
process,34
26.6,34
Check,34
CJK,34
argument,33
context,33
writing,33
according,33
\fonts,\,33
deprecated,33
\1996-2001,\,33
distribution,33
16-bit,33
expressed,33
processing,33
int,33
Error,33
rectangle,33
F,33
\0,\,33
kerning,33
(,33
uncompressed,33
Metadata,32
\i.e.,\,32
fif,32
\1.0f,\,32
Multiple,32
empty,32
even,32
16,32
channels,32
retrieve,32
\1,\,32
static,32
handling,32
format),32
Y,32
directory,32
\library,\,31
passed,31
later,31
opaque,31
definition,31
(or,31
hereby,31
@output:,31
-------------------------------------------------------------------------,31
||,31
required,31
apply,31
Design,31
description,31
Loads,31
could,31
float,31
modules,31
operations,31
shall,31
less,31
conversion,31
Name,31
<Abstract>,31
main,31
Destructor,31
member,31
@note,31
zero,30
speed,30
Adobe,30
G,30
device,30
would,30
renderer,30
Must,30
errors,30
Glyph,30
risk,30
Handle,30
Receives,30
*********************************************************************,30
root,30
(NOT,30
hinter,30
Create,30
describe,30
engine,30
second,30
AS,29
contours,29
\RESPECT,\,29
@*,29
HEREUNDER,29
FREE,29
ESSENTIAL,29
CONTRIBUTOR),29
PERFORMANCE,29
allocate,29
\MERCHANTABLE,\,29
THAT,29
layout,29
RISK,29
NON-INFRINGING,29
REPAIR,29
NECESSARY,29
\DEFECTS,\,29
ENTIRE,29
representing,29
EXPRESSED,29
EXCEPT,29
specifies,29
validation,29
CONSTITUTES,29
DEFECTIVE,29
supports,29
CORRECTION,29
several,29
FIT,29
QUALITY,29
PROVE,29
remove,29
\LIMITATION,\,29
Mac,29
\file,\,29
INITIAL,29
combination,29
Defines,29
drawing,29
COST,29
\SERVICING,\,29
\BASIS,\,29
etc,29
EITHER,29
AUTHORIZED,29
PART,29
message,29
SHOULD,29
DEVELOPER,29
log,29
ASSUME,29
segments,28
link,28
4,28
strings,28
nor,28
auto-hinter,28
------------------,28
along,28
(and,28
(if,28
scalable,28
composite,28
There,28
Some,28
ARE,28
operators,28
indices,28
strike,28
text,28
24,28
what,28
lines,28
Library,28
compute,28
flush,28
provides,28
border,27
zone,27
AABB,27
prior,27
2008-08-31,27
Maximum,27
BDF,27
total,27
bottom,27
much,27
value:,27
Indicates,27
really,27
options,27
scaled,27
another,27
dst,27
still,27
bounding,27
tags,27
subpixel,27
\(i.e.,\,27
amount,27
long,27
good,27
L,27
simply,26
gets,26
Color,26
needs,26
characters,26
design,26
thus,26
WIN32,26
content,26
Redistribution,26
@values:,26
\modification,\,26
\format,\,26
\forms,\,26
BY,26
computed,26
\available,\,26
entry,26
Input,26
zlib,26
\face,\,26
variable,26
common,26
implement,26
permitted,26
constant,26
nothing,26
reading,26
allow,26
able,26
relevant,26
disable,26
extra,26
(C),26
uniform,26
whenever,26
vectors,26
U,26
until,26
stems,25
\DIRECT,\,25
green,25
NEGLIGENCE,25
owned,25
DAMAGE,25
5,25
BUSINESS,25
SERVICES;,25
@enum:,25
IF,25
GOODS,25
reproduce,25
-------------------------------------------------------------------,25
@file,25
\SPECIAL,\,25
modified,25
EVEN,25
INTERRUPTION),25
PROFITS;,25
(INCLUDING,25
undefined,25
active,25
retain,25
\USE,\,25
met:,25
WAY,25
endorse,25
STRICT,25
allocation,25
promote,25
versions,25
THEORY,25
ADVISED,25
LOSS,25
\INDIRECT,\,25
MERCHANTABILITY,25
\SOFTWARE,\,25
OWNER,25
\WARRANTIES,\,25
1.0f,25
variant,25
D,25
\DATA,\,25
POSSIBILITY,25
CID,25
PROCUREMENT,25
granted,25
SUCH,25
cases,25
y,25
\NULL,\,25
OTHERWISE),25
HOWEVER,25
setting,25
8,25
\EXEMPLARY,\,25
SUBSTITUTE,25
DISCLAIMED,25
\red,\,25
CONSEQUENTIAL,25
parent,25
products,25
glyph's,25
\bitmap,\,25
GX,25
\(INCLUDING,\,25
\INCIDENTAL,\,25
CAUSED,25
transparency,24
*****************************************************************,24
based,24
\sell,\,24
No,24
segment,24
contributor,24
fractional,24
(FreeImage,24
defines,24
cropped,24
litigation,24
(this,24
\License,\,24
thumbnail,24
compilers,24
limit,24
@cond,24
\2008,\,24
because,24
-10.0f,24
particular,24
\(e.g.,\,24
gives,24
enum,24
models,24
fipImage,24
\2007,\,24
IO,24
note,24
bearing,24
plane,24
actually,24
equivalent,24
known,24
Asset,23
lookup,23
previous,23
exported,23
services,23
too,23
attached,23
colour,23
determine,23
made,23
ignored,23
specifying,23
FIBITMAP,23
factor,23
minimum,23
signature,23
guess,23
results,23
related,23
pass,23
*not*,23
colors,23
correct,23
allows,23
enable,23
info,23
--------------------------------------------------------------------------,23
\functions,\,23
Output,23
can't,23
outlines,23
Import,23
greyscale,23
three,23
removed,22
work,22
lights,22
changed,22
Saves,22
As,22
(for,22
\team,\,22
<=,22
<Enum>,22
Neither,22
!=,22
normally,22
hold,22
********,22
*************************************************************,22
B,22
basic,22
(assimp),22
Validate,22
engine->createEntity(,22
cmap,22
release,22
0.0f,22
handler,22
DIB,22
Z_OK,22
\data,\,22
contributors,22
added,22
side,22
Texture,22
write,21
performed,21
\value,\,21
generic,21
Data,21
best,21
destroyed,21
custom,21
systems,21
black,21
converted,21
classes,21
scripts,21
cube,21
management,21
accessed,21
\2006-2012,\,21
greater,21
`name',21
Microsoft,21
manage,21
cannot,21
\buffer,\,21
normals,21
\0.0f,\,21
however,21
New,21
Don't,21
public,21
destroy,21
dithering,21
update,21
recorder,21
sample,21
indicates,20
caller,20
\0.5,\,20
quality,20
Number,20
methods,20
transparent,20
typeless,20
GL_TRUE,20
again,20
behaviour,20
processed,20
-1,20
Test,20
face's,20
it's,20
Free,20
PFR,20
destination,20
parse,20
lpszPathName,20
-VEC3(,20
\so,\,20
over,20
Size,20
entries,20
LCD,20
sure,20
longer,20
Masters,20
monochrome,20
BÃ©zier,20
stack,20
Demx::GLEntity*,20
clipboard,20
\-10.0f,\,20
@endcond,20
request,20
parser,20
Matrix,20
Font,20
font's,20
char,20
/////////////////////////////////////////////////////////////////,20
represent,20
\MERCHANTABILITY,\,19
outline's,19
sbit,19
depending,19
\2001,\,19
exact,19
named,19
taken,19
\Otherwise,\,19
freed,19
language,19
Supplement,19
sub-system,19
INCLUDING,19
NONINFRINGEMENT,19
style,19
boolean,19
@endcode,19
find,19
native,19
@FT_Size,19
CONNECTION,19
force,19
\IS"\,\,19
libraries,19
weights,19
Corresponds,19
except,19
easily,19
outside,19
\OTHERWISE,\,19
\FROM,\,19
ACTION,19
Type~1,19
(drolon@infonie.fr),19
\success,\,19
@functype:,19
timeDelta;,19
(which,19
independent,19
DEALINGS,19
generated,19
\8,\,19
fi_handle,19
indicating,19
MS,19
@code,19
manually,19
dimension,19
know,19
Close,19
\CLAIM,\,19
Value,18
compilation,18
higher,18
2010-09-16,18
smaller,18
bones,18
extensions,18
mask,18
obtaining,18
sets,18
declaration,18
\image,\,18
PNG,18
Functions,18
keys,18
scale,18
light's,18
ppem,18
M,18
creating,18
**********************************************************************,18
debug,18
\allocated,\,18
Symbols,18
deal,18
256,18
implemented,18
load_me,18
edges,18
private,18
sub,18
3D,18
dot,18
blend,18
__cplusplus,18
counter,18
applies,18
individual,18
\copy,\,18
debugging,18
bone,18
Add,18
manipulation,18
Permission,18
necessarily,18
<Values>,18
////////////////////////////////////////////////////////////////////////,18
X,18
1;,18
Tag,18
ratio,18
items,18
transform,18
resulting,18
linking,18
large,18
glm::vec3(,18
starting,18
gxlayout,18
PCF,18
if(,18
fixed,18
(as,18
search,17
Page,17
reduce,17
trace,17
generates,17
Of,17
Index,17
important,17
spot,17
completely,17
\publish,\,17
rasterizer,17
(not,17
unless,17
machine,17
ASCII,17
\restriction,\,17
GLEW_MX,17
alignment,17
Apple,17
\2005,\,17
\granted,\,17
->,17
drivers,17
conditions:,17
permit,17
(use,17
negative,17
sell,17
fix,17
\sublicense,\,17
\charge,\,17
\merge,\,17
Memory,17
recording,17
Using,17
<br>,17
\Additionally,\,17
substantial,17
shared,17
something,17
(i.e,17
<Macro>,17
\distribute,\,17
post,17
Do,17
translation,17
delete,17
portions,17
Extension,17
inside,17
session,17
ignore,17
person,17
Ignored,17
Plugin,17
furnished,17
P,17
@type:,17
limitation,17
#undef,17
persons,17
view,17
Most,17
larger,17
Tone,17
fixed-point,17
They,17
selector,17
scope,17
combine,17
FREEIMAGE_LIB,17
contour,17
primitive,17
---------------------------------------------------------,17
\name,\,17
CID-keyed,17
whom,17
probably,16
saving,16
5.0f,16
charmaps,16
low,16
Constants,16
usage,16
@FT_FaceRec,16
flushed,16
Please,16
offer,16
modes,16
2006,16
@def,16
select,16
positive,16
ZLib,16
engine->createPointLight(,16
One,16
identify,16
short,16
you're,16
recommended,16
arrays,16
i,16
exit,16
internally,16
platforms,16
handles,16
kept,16
family,16
generally,16
cursor,16
(with,16
PS,16
value),16
real,16
Utility,16
ANSI,16
(except,16
First,16
\return,16
Z_STREAM_ERROR,16
anti-aliased,16
upload,16
sizes,16
AI_MATKEY_XXX,16
matching,16
contrast,16
filename,15
projection,15
often,15
status,15
\angle,\,15
Retrieves,15
floating,15
\otherwise,\,15
Print,15
itself,15
Postscript,15
frustum,15
transfer,15
record,15
FT_Face,15
importer,15
bool,15
else,15
**************************************************************************,15
\TRUE,\,15
shift,15
tries,15
Optional,15
requires,15
\zero,\,15
come,15
Adobe's,15
makes,15
compiling,15
RGBA,15
assumed,15
rather,15
decompression,15
performance,15
io,15
May,15
Rotation,15
animations,15
raw,15
ImageLib,15
converts,15
multipage,15
Destroy,15
checksum,15
controls,15
changes,15
\2012,\,15
ensure,15
query,15
symbol,15
histogram,15
(including,15
you'll,15
2002,15
\memory,\,15
described,15
disk,15
linear,15
gray,15
purposes,15
integers,15
@name,15
ones,15
(default,15
registered,15
unpatented,15
relative,15
fork,14
contribution,14
once,14
separate,14
detected,14
gamma,14
percentage,14
T1,14
charstring,14
contained,14
quite,14
times,14
instruction,14
requested,14
takes,14
Not,14
Select,14
external,14
DDS,14
zlib.h,14
\function,\,14
further,14
dynamic,14
settings,14
Auto-fitter,14
zones,14
_not_,14
_display_dib,14
pair,14
Key,14
\2010,\,14
transformations,14
\object,\,14
future,14
IEEE,14
released,14
Latin,14
superset,14
\Software,\,14
sub-API,14
capabilities,14
On,14
Convert,14
assigned,14
contents,14
better,14
combined,14
deflate,14
----------------,14
//#define,14
interpolation,14
iterator,14
\"\Software"\),\,14
axes,14
filled,14
rendered,14
records,14
origin,14
to',14
memIO,14
draw,14
cache),14
variables,14
24-,14
anything,14
instructions,14
Buffer,14
radians,14
mostly,14
describing,14
false,14
@FT_Glyph,14
********************************************************************,14
image's,14
Bits,14
pool,14
\case,\,14
-----------------------------------------------------------------------------,14
OS,14
date,14
convenience,14
together,14
@FT_Open_Face,14
execution,14
\axis,\,14
handled,14
GL_HRESULT,14
ONLY,14
Basic,13
inflate,13
features,13
correspond,13
\found,\,13
below),13
double,13
computations,13
insert,13
far,13
`a',13
matrix),13
returning,13
debugger,13
around,13
responsible,13
\palette,\,13
actual,13
null,13
\pixels,\,13
moved,13
includes,13
directional,13
----------------------------------------------------------------------------------,13
\structure,\,13
built,13
idea,13
Exif,13
10.0f,13
missing,13
assume,13
\ID,\,13
retrieved,13
represents,13
Configures,13
masks,13
modify,13
few,13
\it,\,13
receives,13
Loading,13
TrueTypeGX/AAT,13
slightly,13
_WIN32,13
legal,13
hierarchy,13
next_in,13
won't,13
minor,13
indicated,13
comparison,13
\defined,\,13
Disable,13
ISO,13
UNICODE,13
Represents,13
\font,\,13
(such,13
\green,\,13
\mode,\,13
storage,13
face_index,13
Second,13
users,13
our,13
identical,13
@struct:,13
red,13
6,13
@FT_Load_Glyph,13
lib,13
configurations,13
\make,\,13
extract,13
members,12
\perpetual,\,12
LUT,12
institute,12
Incorporated,12
2x2,12
gxvalid,12
cubemap,12
Destruction,12
submitted,12
Deprecated,12
infringed,12
affected,12
And,12
avail_in,12
bitmap's,12
\Work,\,12
Storage,12
incremental,12
avail_out,12
V,12
\authorship,\,12
=>,12
screen,12
\using,\,12
FREEIMAGE,12
aligned,12
keep,12
constitutes,12
matches,12
permissions,12
herein,12
terminate,12
dependant),12
mechanism,12
alone,12
(returned,12
meaningful,12
licensable,12
FREEIMAGE_COLORORDER,12
contributory,12
<pre>,12
FT_Library,12
(slow,12
\worldwide,\,12
ascender,12
chroma,12
AFM,12
declarations,12
Ideographs,12
Draw,12
non,12
lawsuit),12
counterclaim,12
initialized,12
performs,12
runtime,12
\no-charge,\,12
big,12
enabled,12
grants,12
Version,12
\(x,\,12
16bit,12
bitmap’s,12
\fi_handle,\,12
\is,\,12
destructor,12
------------------------------,12
#,12
cm,12
\y),\,12
Its,12
(algorithm,12
primitives,12
\modifying,\,12
(like,12
\section,\,12
FIF_UNKNOWN,12
Systems,12
FreeType's,12
fails,12
exist,12
\"\Your"\)\,12
irrevocable,12
\made,\,12
licenses,12
\"\Work"\)\,12
att,12
\images,\,12
mjk's,12
\outline,\,12
copied,12
palettized,12
notice(s),12
GCC,12
\import,\,12
exercising,12
distributing,12
listed,12
0;,12
\infringement,\,12
successful,12
alleging,12
validator,12
filed,12
backwards,12
Save,12
determined,12
faster,12
`encoding_id',12
typically,12
stated,12
room,12
cross-claim,12
incorporated,12
quaternion,12
filtering,12
parsing,12
back,12
exists,12
\succesfull,\,12
understood,12
claims,12
access),12
stuff,12
\"\You"\\,12
</pre>,12
@since:,12
SOIL_FLAG_COMPRESS_TO_DXT,12
transformed,12
\values,\,12
\non-exclusive,\,12
\(hereafter,\,12
pos,12
properly,12
(order,12
Support,12
take,12
2011,12
Message,12
\software,\,12
token,12
\(collectively,\,12
After,12
cvt,12
profile,12
limited,12
Development,12
numbers,12
steps,12
correctly,12
\bitmaps,\,12
@version,12
section),12
JPEG,12
void,12
forces,12
FreeImage_Clone,12
pages,12
\royalty-free,\,12
',11
Japan,11
>,11
\glyph,\,11
bytes),11
Reserved,11
respectively,11
Path,11
Oran,11
AUTHORS,11
Values,11
%0,11
Hangul,11
<hr>This,11
SOIL_FLAG_TEXTURE_REPEATS,11
whose,11
Masatake,11
ui,11
XXX,11
j,11
Callback,11
Visual,11
Sets,11
texture),11
warning,11
were,11
HDR,11
Internal,11
VEC3_Y,11
Cyrillic,11
affects,11
interpolated,11
64,11
Screen,11
Source,11
1.0,11
sources,11
linked,11
\2,\,11
discussion,11
Mickey,11
triangle,11
\table,\,11
Copying,11
How,11
MATS_DOC_FULL,11
Bitmap,11
deflateInit,11
feature,11
failed,11
subsampling,11
deflate(),11
zalloc,11
blocks,11
inflate(),11
desired,11
forks,11
Win32,11
forward,11
max,11
assert,11
final,11
computation,11
flags),11
Pass,11
Gabel,11
&&,11
Promotion,11
Vertex,11
covered,11
Class,11
rule,11
widths,11
otvalid,11
\2.0f,\,11
effect,11
building,11
generate,11
lengths,11
algorithms,11
fast,11
run,11
prevent,11
RAM,11
tree,11
whole,11
checks,11
Agra,11
location,11
optimized,11
put,11
3x3,11
Call,11
clockwise,11
FT_Init_FreeType(,11
backward,11
Here,11
zfree,11
pending,11
freetype.h,11
preferred,11
Since,11
e.g,11
ensures,11
coords,11
Information-technology,11
streams,11
Local,11
64bit,11
via,11
destruction,11
attenuation,11
etc.),11
hinted,10
casts,10
Compatibility,10
tmo,10
big-endian,10
<,10
0.5,10
XFree86,10
warnings,10
problems,10
SOIL_FLAG_INVERT_Y,10
FT_Glyph,10
defaults,10
failure,10
FT_Byte,10
shading,10
\"\metallic"\,\,10
2010,10
Red,10
passing,10
defining,10
2009,10
used),10
FT_String*,10
Spacing,10
none,10
ranges,10
Greek,10
decomposition,10
capable,10
positions,10
96-bit,10
Can,10
identity,10
0);,10
<Since>,10
Reads,10
fail,10
@FT_New_Face,10
managed,10
\type,\,10
read-only,10
opening,10
becomes,10
specular,10
followed,10
Reset,10
\points,\,10
\property,\,10
c,10
Other,10
OS/2,10
EM,10
FT_Short,10
quickly,10
executed,10
mainly,10
\failed,\,10
references,10
engine->createSpotLight(,10
\YAMATO,\,10
chosen,10
!,10
1/64th,10
High-level,10
module's,10
series,10
previously,10
kind,10
next_out,10
triangles,10
\DLL,\,10
issue,10
local,10
accordingly,10
unused,10
Assimp's,10
2.0f,10
reuse_texture_ID,10
var,10
stroke,10
SOIL_FLAG_MULTIPLY_ALPHA,10
autofit,10
downsampling,10
stores,10
wrong,10
mark,10
\4,\,10
Extended,10
callbacks,10
it),10
immediately,10
Applications,10
Also,10
Compile,10
FreeImage_LoadMultiBitmapFromMemory,10
images:,10
programs,10
logging,10
marked,10
descender,10
>=,10
mat,10
headers,10
regular,10
strategy,10
validated,10
Possible,10
print,10
\"\\,10
\encoding,\,10
intended,10
blob,10
especially,10
optimization,10
Third,10
Generic,10
scan,10
selected,10
soon,10
off,10
portable,10
@FT_Done_Face,10
huge,10
bug,10
Alpha,10
messages,10
lists,10
simplicity,10
deflateInit2,10
expected,10
diffuse,10
kern,10
proper,9
classic,9
receive,9
const,9
Dynamic,9
skipped,9
aren't,9
FT_Int,9
Testing,9
existing,9
List,9
Unload,9
delta,9
refreshed,9
Supported,9
d,9
id,9
converter,9
min,9
SOIL_FLAG_POWER_OF_TWO,9
terrain,9
DevIL,9
MATERIALS,9
(overwriting,9
inflateInit,9
Z_MEM_ERROR,9
grid,9
bzip2,9
image;,9
\rendering,\,9
reads,9
TODO:,9
NULL),9
wider,9
bitangents,9
(must,9
separated,9
degrees,9
Returned,9
let,9
third,9
\ASSERT},\,9
\Agency(IPA),\,9
@section:,9
switch,9
Cache,9
front,9
gridZ,9
holds,9
writer,9
bitdepth,9
Mark,9
table),9
span,9
purpose,9
attributes,9
reason,9
across,9
refer,9
CRT,9
platform,9
third_param,9
MACROS,9
preprocessor,9
slots,9
Construct,9
Simple,9
assembly,9
reuse,9
inconsistent,9
FreeImage),9
Chinese,9
Our,9
providing,9
\1996-2004,\,9
W,9
quantization,9
FreeImagePlus,9
parts,9
GLfloat,9
shows,9
first_param,9
Names,9
\cases,\,9
importers,9
Throw,9
Creates,9
2011-2013,9
(usually,9
bkcolor,9
Importer,9
\files,\,9
seek,9
format-specific,9
2004,9
normalized,9
waves,9
comments,9
42,9
adjustCurve,9
read/write,9
0-generate,9
skybox,9
Arabic,9
glyph_index,9
package,9
load_flags,9
face_id,9
nominal,9
charge,9
`release',9
fly,9
forget,9
implies,9
ordered,9
care,9
@abstract:,9
variation,9
helper,9
\disk,\,9
2003,9
Fourth,9
unique,9
Materials,9
heap,9
SOIL_FLAG_MIPMAPS,9
distinct,9
Private,9
2007,9
saves,9
Delete,9
borders,9
48-bit,9
compatible,9
second_param,9
decoding,9
go,9
postprocessing,9
vectorial,9
String,9
Unified,9
FreeImage_GetInfoHeader,9
Types,9
Identifies,9
implementations,9
\possible,\,9
subglyph,9
reset,9
extremely,9
@FT_Property_Get,9
possibly,9
temporary,9
lighting,9
dynamically,9
they're,9
\4.0f,\,9
Adjusts,9
cause,9
fourth_param,9
\10,\,9
Reference,9
OS),9
getScanWidth,9
smooth,9
medium,9
pKey,9
layer,9
slow,9
`flags',9
declared,9
\0-failed,\,9
FREE_IMAGE_COLOR_CHANNEL,9
@title:,9
non-zero,9
activated,9
TT,9
High,9
non-NULL,8
tangents,8
bad,8
Information,8
===============================================================,8
\width,\,8
SOIL_FLAG_DDS_LOAD_DIRECT,8
Master,8
\2000-2001,\,8
plus,8
\3-RGB,\,8
extern,8
darkening,8
Ideographic,8
sized,8
interpreted,8
#endif,8
orientation,8
>>,8
2007-2013,8
\1-,\,8
Win32's,8
register,8
Forms,8
LZW,8
@T1_Hints,8
\units,\,8
rest,8
degree,8
tree_trans(,8
