File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,"Demx::Engine::addModel( std::string name, std::string path )",6,4,4,1,2,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::addWaveSimultation( GLuint size ),5,4,4,1,1,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,"Demx::Engine::addTerrain( std::string path, std::string material )",6,5,5,1,1,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,"Demx::Engine::addSkyBox(std::string directory, std::string format, GLfloat size)",6,4,4,1,2,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::getEntity( std::string name ),26,23,11,10,3,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::getParticleSystem( std::string name ),10,9,5,4,1,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::getWaveSimultation( std::string name ),10,9,5,4,1,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::getTerrain( std::string name ),10,9,5,4,1,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::getAmbientLight( std::string name ),2,1,1,0,1,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::getDirectionalLight( std::string name ),8,7,4,4,1,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::getPointLight( std::string name ),8,7,4,4,1,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::getSpotLight( std::string name ),2,1,1,0,1,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::setDebug( GLboolean debug ),2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,"Demx::Engine::resize( GLuint w, GLuint h )",2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Engine.cpp,Demx::Engine::luaManager(),28,22,22,0,6,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::Entity( GLuint drawType ),13,12,12,0,1,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::~Entity(),1,1,1,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::isModel(),2,2,2,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::isIndexed(),2,2,2,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::setCastShadow( GLboolean castShadow ),2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::isCastingShadow(),2,2,2,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::onStartDraw( Demx::Shader* program ),1,1,1,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::onEndDraw(),1,1,1,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::position( VEC3 position ),2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::map( VEC2 mapping ),2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::normal( VEC3 normal ),2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,"Demx::Entity::triangle( VEC3 v1, VEC3 v2, VEC3 v3 )",10,7,6,1,2,0,1,6,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::setFaceNormal( VEC3 normal ),13,12,6,3,1,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::setMaterial( std::string material ),2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,"Demx::Entity::move( const VEC3& destination, GLfloat speed, GLfloat timeDelta )",9,7,5,1,2,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::setName( const std::string& name ),2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::resetModelMatrix(),2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::translate( const VEC3& vector ),2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,"Demx::Entity::rotate( GLfloat angle, const VEC3& axis )",2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::scale( const VEC3& vector ),2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::scaleAll( GLfloat value ),2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::setPosition( const VEC3& pos ),4,4,4,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::getPosition(),2,2,2,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::getModelMatrix(),2,2,2,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::getNormalMatrix(),2,2,2,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::setupAABB( const std::vector<VEC3>& vertices ),2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Entity.cpp,Demx::Entity::setupAABB( const std::vector<VEC4>& vertices ),2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Frustum.cpp,Demx::Frustum::Frustum(),1,1,1,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Frustum.cpp,Demx::Frustum::~Frustum(),1,1,1,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Frustum.cpp,Demx::Frustum::set( MAT4 mat ),30,25,7,0,5,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Frustum.cpp,Demx::Frustum::AABBIntersect( const Demx::AABB& box ) const,21,14,8,4,2,0,5,44,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\GLCircle.cpp,"Demx::Entity::createCircle( std::string material, GLfloat radius, GLint w, GLint h )",19,14,12,2,5,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\GLCone.cpp,"Demx::Entity::createCone( std::string material, GLfloat radius, GLfloat height, GLint w, GLint h )",21,16,11,2,5,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\GLCube.cpp,"Demx::Entity::createCube( std::string material, GLint w, GLint h )",107,88,88,1,13,0,6,6,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\GLCylinder.cpp,"Demx::Entity::createCylinder( std::string material, GLfloat radius, GLfloat height, GLint w, GLint h )",70,49,39,4,16,0,5,14,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\GLModel.cpp,"Demx::GLModel::GLModel(std::string name, std::string path)",1,1,1,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\GLModel.cpp,Demx::GLModel::~GLModel(void),1,1,1,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\GLPlane.cpp,"Demx::Entity::createPlane( std::string material, GLfloat size, GLint w, GLint h )",17,13,13,1,4,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\GLPyramid.cpp,"Demx::Entity::createPyramid( std::string material, GLint w, GLint h )",37,28,28,1,8,0,1,1,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\GLSphere.cpp,"Demx::Entity::createSphere( std::string material, GLfloat radius, GLfloat height, GLint w, GLint h )",2,1,1,0,1,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Init.cpp,Demx::Renderer::init(),375,287,227,33,82,2,6,25,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Interpreter.cpp,"Demx::Interpreter::Interpreter(Engine* engine, Parser* parser)",6,5,5,0,1,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Interpreter.cpp,Demx::Interpreter::~Interpreter(void),1,1,1,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Interpreter.cpp,Demx::Interpreter::interpret(),326,277,193,16,47,0,2,19,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Interpreter.cpp,Demx::Interpreter::extractInt( std::string text ),2,2,2,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Interpreter.cpp,Demx::Interpreter::extractFloat( std::string text ),2,2,2,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Interpreter.cpp,Demx::Interpreter::extractBoolean( std::string text ),9,9,5,3,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Interpreter.cpp,Demx::Interpreter::extractVector2( std::string text ),18,13,10,3,5,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Interpreter.cpp,Demx::Interpreter::extractVector3( std::string text ),18,13,10,3,5,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,Demx::Light::Light( COLOR3 color ),4,4,4,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,Demx::Light::~Light(),3,3,2,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,Demx::Light::setName( std::string name ),2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,Demx::Light::toggle(),2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,Demx::Light::castShadow( GLboolean castShadow ),1,1,1,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,"Demx::Light::setShadowPosition( VEC3 pos, VEC3 up )",1,1,1,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,Demx::Light::setShadowResolution( GLuint resolution ),3,3,2,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,Demx::Light::hasShadow(),2,2,2,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,Demx::Light::setShadowDepthIndex( GLuint index ),3,3,2,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,Demx::Light::getShadowDepthIndex(),5,5,3,3,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,Demx::Light::isActive(),2,2,2,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,Demx::Light::setActive( GLboolean active ),2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,Demx::AmbientLight::AmbientLight( COLOR3 color ),1,1,1,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,"Demx::DirectionalLight::DirectionalLight( COLOR3 color, VEC3 direction )",2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,Demx::DirectionalLight::castShadow( GLboolean castShadow ),17,17,9,3,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,"Demx::DirectionalLight::setShadowPosition(VEC3 pos, VEC3 up )",3,3,2,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,"Demx::PointLight::PointLight( COLOR3 color, VEC3 position )",8,6,6,0,2,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,Demx::PointLight::setPosition( VEC3 position ),2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,"Demx::PointLight::setAttributes( GLfloat constant, GLfloat linear, GLfloat exp )",4,4,4,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,Demx::PointLight::castShadow( GLboolean castShadow ),17,17,9,3,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,"Demx::PointLight::setShadowPosition(VEC3 pos, VEC3 up )",3,3,2,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,"Demx::SpotLight::SpotLight( COLOR3 color, VEC3 position, VEC3 direction, GLfloat angle )",10,8,8,0,2,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,Demx::SpotLight::setAngle( GLfloat angle ),2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,Demx::SpotLight::setPosition( VEC3 position ),2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,Demx::SpotLight::setDirection( VEC3 view ),2,2,2,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,"Demx::SpotLight::setAttributes( GLfloat constant, GLfloat linear, GLfloat exp )",4,4,4,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,Demx::SpotLight::castShadow( GLboolean castShadow ),17,17,9,3,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Lights.cpp,"Demx::SpotLight::setShadowPosition( VEC3 pos, VEC3 up )",3,3,2,1,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\LuaManager.cpp,luaCreateCube( lua_State* L ),25,18,9,3,5,0,2,5,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\LuaManager.cpp,luaCreateCylinder( lua_State* L ),29,22,9,3,5,0,2,5,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\LuaManager.cpp,luaCreateModelEntity( lua_State* L ),19,13,8,3,4,0,2,5,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\LuaManager.cpp,luaTranslate( lua_State* L ),23,17,8,3,4,0,2,5,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\LuaManager.cpp,luaRotate( lua_State* L ),27,21,8,3,4,0,2,5,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\LuaManager.cpp,luaScale( lua_State* L ),23,17,8,3,4,0,2,5,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\LuaManager.cpp,luaScaleAll( lua_State* L ),19,13,8,3,4,0,2,5,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\LuaManager.cpp,luaDebug( lua_State* L ),4,3,3,1,1,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\MainScene.cpp,MainScene::MainScene( GLvoid ),3,3,3,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\MainScene.cpp,MainScene::~MainScene( GLvoid ),1,1,1,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\MainScene.cpp,MainScene::Init( GLvoid ),159,24,22,1,19,0,116,460,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\MainScene.cpp,MainScene::Loop( GLfloat timeDelta ),26,2,2,1,1,0,23,114,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\MainScene.cpp,"MainScene::Input( MESSAGE msg, PARAM param )",22,19,12,2,3,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\MainScene.cpp,tree_trans( Demx::Entity* e ),4,4,4,0,0,0,0,0,
C:\Users\demx\Documents\Visual Studio 2012\Projects\EngineFinal\DemxEngine\Material.cpp,Demx::Material::Material(void),4,4,4,0,0,0,0,0,
